"category","total_questions","codereview_questions","softwareeng_questions","stackoverflow_questions","codereview_perc","softwareeng_perc","stackoverflow_perc"
"Best Practices","216","28","69","119","12.96","31.94","55.09"
"Best Practices > Handle Exceptions","5","1","3","1","20.00","60.00","20.00"
"Best Practices > Naming Convention","1","0","0","1","0.00","0.00","100.00"
"Best Practices > Performance Improvement","8","0","3","5","0.00","37.50","62.50"
"Best Practices > Test Automation","3","0","2","1","0.00","66.67","33.33"
"Best Practices > Test Coverage","3","0","1","2","0.00","33.33","66.67"
"Best Practices > Testing for Security","5","0","0","5","0.00","0.00","100.00"
"Best Practices > Test/Validate","125","19","40","66","15.20","32.00","52.80"
"Best Practices > Test/Validate > Configuration Data","1","0","1","0","0.00","100.00","0.00"
"Best Practices > Test/Validate > DB Access Performance","5","0","1","4","0.00","20.00","80.00"
"Best Practices > Test/Validate > DB Connection","6","1","1","4","16.67","16.67","66.67"
"Best Practices > Test/Validate > DB Constraints","1","0","1","0","0.00","100.00","0.00"
"Best Practices > Test/Validate > DB Creation","7","3","1","3","42.86","14.29","42.86"
"Best Practices > Test/Validate > Migrations","8","0","2","6","0.00","25.00","75.00"
"Best Practices > Test/Validate > Models","6","2","4","0","33.33","66.67","0.00"
"Best Practices > Test/Validate > Persistence/DAO Layer","65","13","17","35","20.00","26.15","53.85"
"Best Practices > Test/Validate > Queries","19","1","9","9","5.26","47.37","47.37"
"Best Practices > Test/Validate > Services and DB","2","0","1","1","0.00","50.00","50.00"
"Best Practices > Test/Validate > Stored Procedures","10","2","5","3","20.00","50.00","30.00"
"Best Practices > Test/Validate > Test Data","1","0","1","0","0.00","100.00","0.00"
"Best Practices > Test/Validate > Transactions","4","0","0","4","0.00","0.00","100.00"
"DB Handling","145","11","21","113","7.59","14.48","77.93"
"DB Handling > DB Connection","39","4","1","34","10.26","2.56","87.18"
"DB Handling > DB Connection > Close DB Connection When Test Fails","2","1","0","1","50.00","0.00","50.00"
"DB Handling > DB Connection > Connect to Multiple Databases","2","0","0","2","0.00","0.00","100.00"
"DB Handling > DB Connection > Handle Connection String","4","1","0","3","25.00","0.00","75.00"
"DB Handling > DB Connection > Manage Shared Connection Among Tests","8","3","1","4","37.50","12.50","50.00"
"DB Handling > DB Connection > Read-Only Connection For Tests","1","0","0","1","0.00","0.00","100.00"
"DB Handling > DB Connection > Use Dependency Injection","1","0","0","1","0.00","0.00","100.00"
"DB Handling > DB Depopulation","37","0","7","30","0.00","18.92","81.08"
"DB Handling > DB Depopulation > Cleanup Production DB","1","0","1","0","0.00","100.00","0.00"
"DB Handling > DB Depopulation > Cleanup Test DB","29","0","7","22","0.00","24.14","75.86"
"DB Handling > DB Depopulation > Introduce Special API for Cleanup","4","0","2","2","0.00","50.00","50.00"
"DB Handling > DB Depopulation > Rollback Changes","11","0","1","10","0.00","9.09","90.91"
"DB Handling > DB Population","67","7","11","49","10.45","16.42","73.13"
"DB Handling > DB Population > Clear DB Before Tests","12","0","1","11","0.00","8.33","91.67"
"DB Handling > DB Population > Exclude Outdated Data","1","0","0","1","0.00","0.00","100.00"
"DB Handling > DB Population > Generate Random Data","5","1","0","4","20.00","0.00","80.00"
"DB Handling > DB Population > Populate from Dump File","3","0","0","3","0.00","0.00","100.00"
"DB Handling > DB Population > Populate from Fixtures/CSV","7","2","1","4","28.57","14.29","57.14"
"DB Handling > DB Population > Populate from Production DB","1","0","0","1","0.00","0.00","100.00"
"DB Handling > DB Population > Use Development Data","1","0","0","1","0.00","0.00","100.00"
"DB Handling > DB Population > Wait Until the DB is Populated Before Test Execution","2","0","0","2","0.00","0.00","100.00"
"DB Handling > Deployment","2","0","0","2","0.00","0.00","100.00"
"DB Handling > Isolate Test DB from Production DB","1","0","0","1","0.00","0.00","100.00"
"DB Handling > Setup Test DB Before Tests","2","0","0","2","0.00","0.00","100.00"
"DB Handling > Start DB Before Tests","3","0","0","3","0.00","0.00","100.00"
"DB Handling > Stop DB After Tests","2","0","0","2","0.00","0.00","100.00"
"DB Handling > Synchronize Test DB","5","0","3","2","0.00","60.00","40.00"
"FP","114","3","25","86","2.63","21.93","75.44"
"Framework/Tool Usage","75","0","2","73","0.00","2.67","97.33"
"Framework/Tool Usage > Configuration","58","0","1","57","0.00","1.72","98.28"
"Framework/Tool Usage > Configuration > Configure DB Loading/Population","7","0","0","7","0.00","0.00","100.00"
"Framework/Tool Usage > Configuration > Configure Logging of SQL Queries","1","0","0","1","0.00","0.00","100.00"
"Framework/Tool Usage > Configuration > Different Configuration for Production/Test DB","10","0","1","9","0.00","10.00","90.00"
"Framework/Tool Usage > Configuration > Keep Test Data After Tests","4","0","0","4","0.00","0.00","100.00"
"Framework/Tool Usage > Configuration > Run Single Tests on a Separate DB","1","0","0","1","0.00","0.00","100.00"
"Framework/Tool Usage > Configuration > Sequential Instead of Parallel Execution","1","0","0","1","0.00","0.00","100.00"
"Framework/Tool Usage > Configuration > Transactional Tests","1","0","0","1","0.00","0.00","100.00"
"Framework/Tool Usage > Configuration > Use In-Memory DB For Tests","6","0","0","6","0.00","0.00","100.00"
"Framework/Tool Usage > Documentation Clarification","1","0","0","1","0.00","0.00","100.00"
"Framework/Tool Usage > Find Examples/Tutorials","4","0","1","3","0.00","25.00","75.00"
"Framework/Tool Usage > Handle Error/Warning Message","17","0","0","17","0.00","0.00","100.00"
"Maintainability/Testability","27","4","17","6","14.81","62.96","22.22"
"Maintainability/Testability > Adapt Tests to Schema Changes","1","0","1","0","0.00","100.00","0.00"
"Maintainability/Testability > Improve Testability of DB Access Code","2","0","1","1","0.00","50.00","50.00"
"Maintainability/Testability > Manage Schemas","3","0","0","3","0.00","0.00","100.00"
"Maintainability/Testability > Manage Test Data","3","0","3","0","0.00","100.00","0.00"
"Maintainability/Testability > Test Code Organization","7","2","4","1","28.57","57.14","14.29"
"Maintainability/Testability > Test Isolation","7","0","7","0","0.00","100.00","0.00"
"Maintainability/Testability > Test Reusability","4","2","1","1","50.00","25.00","25.00"
"Method","44","3","26","15","6.82","59.09","34.09"
"Method > Cleanup Before/After Tests","2","1","1","0","50.00","50.00","0.00"
"Method > Rely on Tests Without Data","1","0","1","0","0.00","100.00","0.00"
"Method > Test Data Access","1","0","0","1","0.00","0.00","100.00"
"Method > Test Implementation vs Behaviour","1","0","1","0","0.00","100.00","0.00"
"Method > Test With Deterministic vs Non-Deterministic Data","1","0","1","0","0.00","100.00","0.00"
"Method > Unit Testing vs Integration Testing for DB Application","22","0","15","7","0.00","68.18","31.82"
"Method > Use In-Memory DB vs Local Test DB","5","1","3","1","20.00","60.00","20.00"
"Method > Use In-Memory DB vs Mocking","2","0","2","0","0.00","100.00","0.00"
"Method > Use Mocking vs Test DB","15","2","6","7","13.33","40.00","46.67"
"Method > Use VM for Testing","1","0","1","0","0.00","100.00","0.00"
"Mocking","54","8","17","29","14.81","31.48","53.70"
"Mocking > Mock DB Calls","6","3","2","1","50.00","33.33","16.67"
"Mocking > Mock Persistence layer","1","0","0","1","0.00","0.00","100.00"
"Mocking > Mock Specific Database","1","0","0","1","0.00","0.00","100.00"
"Mocking > Monitor Status of Mocked DB","1","0","0","1","0.00","0.00","100.00"
"Mocking > Test DB Exceptions with Mocked DB","1","0","1","0","0.00","100.00","0.00"
"Parallelization","12","0","3","9","0.00","25.00","75.00"
"Parallelization > Asynchronous Test Execution with a Single DB","1","0","1","0","0.00","100.00","0.00"
"Parallelization > Avoid DB Population Executed in Parallel","1","0","0","1","0.00","0.00","100.00"
"Parallelization > Concurrent DB Modification Leads to Test Fail","7","0","1","6","0.00","14.29","85.71"
"Parallelization > Parallelize Tests Accessing a Single DB","1","0","1","0","0.00","100.00","0.00"
"Parallelization > Parallelize Tests with Several In-memory DB","1","0","0","1","0.00","0.00","100.00"
"Parallelization > Test Asynchronous DB Tasks","1","0","0","1","0.00","0.00","100.00"
